employee_id,作業日,department,project_code,作業時間,コスト,ステータス,メモ
E0105,2026-04-02,営業,internal,7.5,不明,DONE,入力確認
 emp-0101 ,2026-04-02,accounting,internal,-2,12000,差戻し,入力確認
E0084,2026-04-02,サポート,C300,-2,12000,pending,重複確認
E0005,2026-04-02,サポート,B200,N/A,"¥18,000",確認中,
E0036,2026-04-02,経理,internal,6,12000,pending,重複確認
E0018,未定,営業, Internal ,7.5,12000,DONE,入力確認
E0005,2026-04-02,Support,C300,N/A,"¥18,000",確認中,重複確認
E0046,2026-04-02,経理,internal,7.5,不明,完了,重複確認
E0109,2026-04-02,経理,社内,7.5,15000,確認中,重複確認
E0100,2026-04-02,dev,社内,9時間,12000,確認中,要確認
E0038,2026-04-02,dev,B200,7.5,"20,000円",pending,要確認
E0092,2026-04-02,HR,B200,6,"¥18,000",確認中,入力確認
E0077,2026-04-02,サポート,社内,7.5,不明,完了,重複確認
E0043,2026-04-02,dev,C300,-2,"¥18,000",done,入力確認
e0109,2026-04-02,人事,A100,8,15000,完了,重複確認
E0043,2026-04-02, Sales , Internal ,-2,不明,確認中,入力確認
E0013,2026-04-02,開発,A100,6,不明,rework,入力確認
E0093,2026-04-02,dev,internal,6,15000,done,入力確認
 emp-0098 ,2026-04-02,sales,社内,6,"¥18,000",pending,要確認
E0092,2026-04-02,Support, Internal ,8,15000,done,重複確認
E0045,2026-04-02,人事, Internal ,N/A,"¥18,000",rework,要確認
E0103,2026-04-02,sales,A100,-2,"20,000円",確認中,
E0094,2026-04-02,ＤＥＶ,internal,9時間,15000,rework,入力確認
E0070,2026-04-02,ＤＥＶ, Internal ,-2,15000,確認中,要確認
E0009,2026-04-02,経理,社内,9時間,12000,done,要確認
E0013,2026-04-02,dev,A100,7.5,不明,確認中,重複確認
E0051,2026-04-02, Sales ,A100,N/A,"¥18,000",pending,重複確認
E0057,2026-04-02,ＤＥＶ,B200,7.5,"¥18,000",確認中,入力確認
E0036,2026-04-02,dev,C300,7.5,"¥18,000",確認中,
E0024,2026-04-02,営業,社内,9時間,"20,000円",確認中,
E0114,2026-04-02,dev,社内,N/A,15000,pending,
E0044,2026-04-02,経理,社内,8,"20,000円",確認中,
E0106,2026-04-02,dev,internal,9時間,"20,000円",完了,入力確認
E0102,2026-04-02,営業, Internal ,-2,不明,DONE,入力確認
E0090,2026-04-02,営業, Internal ,9時間,15000,rework,重複確認
 emp-0083 ,2026-04-02,ＤＥＶ,A100,9時間,不明,確認中,重複確認
E0076,2026-04-02,経理,A100,6,不明,rework,
e0001,2026-04-02,accounting,B200,7.5,不明,確認中,入力確認
E0052,2026-04-02,営業,C300,8,"20,000円",DONE,重複確認
E0017,2026-04-02,経理,B200,7.5,不明,差戻し,重複確認
E0086,2026-04-02,accounting,C300,N/A,"¥18,000",pending,
E0119,2026-04-02,人事,C300,9時間,"¥18,000",確認中,入力確認
E0096,2026-04-02,HR,社内,6,"¥18,000",確認中,重複確認
E0040,2026-04-02,Support,B200,N/A,12000,差戻し,重複確認
E0091,2026-04-02,サポート,社内,6,12000,差戻し,
E0113,2026-04-02,ＤＥＶ,internal,-2,"¥18,000",確認中,入力確認
E0001,2026-04-02,dev,社内,9時間,不明,DONE,重複確認
E0070,2026-04-02,sales,C300,-2,12000,完了,
E0099,2026-04-02,accounting,C300,7.5,不明,完了,入力確認
E0075,2026-04-02,HR,C300,9時間,"¥18,000",完了,入力確認
E0066,2026-04-02,dev,B200,9時間,"20,000円",rework,要確認
E0063,2026-04-02,HR,A100,-2,"20,000円",done,重複確認
 emp-0092 ,2026-04-02,sales,B200,8,"20,000円",pending,
E0102,2026-04-02,ＤＥＶ,B200,8,"¥18,000",rework,重複確認
E0095,2026-04-02,ＤＥＶ,B200,9時間,"¥18,000",確認中,入力確認
E0027,2026-04-02,dev,C300,8,15000,pending,要確認
E0111,2026-04-02,人事,C300,-2,"¥18,000",完了,要確認
E0038,2026-04-02,サポート,internal,N/A,不明,DONE,入力確認
E0001,未定,人事,C300,-2,12000,done,重複確認
E0010,2026-04-02,accounting,A100,9時間,"¥18,000",完了,入力確認
e0082,2026-04-02,ＤＥＶ,B200,N/A,15000,rework,
E0076,2026-04-02, Sales ,A100,9時間,15000,DONE,
E0066,2026-04-02,Support, Internal ,9時間,"¥18,000",差戻し,重複確認
E0048,2026-04-02,accounting,社内,7.5,12000,done,入力確認
E0111,2026-04-02,人事,B200,8,"¥18,000",完了,要確認
E0045,2026-04-02,営業, Internal ,6,15000,rework,
E0020,2026-04-02,accounting, Internal ,8,"¥18,000",done,
E0097,2026-04-02, Sales ,A100,6,12000,rework,要確認
E0071,2026-04-02, Sales ,C300,N/A,12000,DONE,
 emp-0011 ,2026-04-02,sales,internal,-2,15000,rework,重複確認
E0003,2026-04-02, Sales ,B200,7.5,"20,000円",差戻し,入力確認
E0001,2026-04-02,dev,B200,-2,"¥18,000",完了,入力確認
E0026,2026-04-02,sales,B200,8,不明,差戻し,
E0114,2026-04-02,sales,B200,-2,15000,差戻し,重複確認
E0118,2026-04-02,ＤＥＶ,internal,6,"20,000円",DONE,
E0007,2026-04-02,営業,A100,9時間,"¥18,000",差戻し,要確認
E0054,2026-04-02,経理,社内,8,12000,完了,入力確認
E0080,2026-04-02,Support,A100,6,12000,pending,要確認
E0100,2026-04-02,sales,B200,-2,12000,完了,
E0075,2026-04-02,accounting,社内,-2,"20,000円",pending,
E0082,2026-04-02,sales,A100,8,15000,差戻し,要確認
E0101,2026-04-02,HR,社内,-2,不明,DONE,入力確認
E0042,2026-04-02,経理,社内,-2,不明,差戻し,重複確認
e0013,2026-04-02,sales,B200,7.5,12000,完了,
E0043,2026-04-02,HR,B200,N/A,"20,000円",pending,入力確認
E0115,2026-04-02,ＤＥＶ,internal,6,"20,000円",確認中,重複確認
 emp-0012 ,2026-04-02,営業,B200,N/A,12000,差戻し,入力確認
E0010,2026-04-02,accounting,A100,N/A,不明,pending,重複確認
E0028,2026-04-02,sales,B200,9時間,不明,rework,重複確認
E0096,2026-04-02,サポート,internal,8,"¥18,000",rework,入力確認
E0060,2026-04-02,サポート,社内,7.5,不明,done,重複確認
E0037,2026-04-02,sales,社内,6,15000,DONE,重複確認
E0079,2026-04-02,accounting,internal,8,不明,rework,
E0015,2026-04-02,経理, Internal ,8,"20,000円",確認中,
E0026,2026-04-02,開発,A100,8,"20,000円",差戻し,
E0016,2026-04-02,sales,A100,-2,12000,確認中,要確認
E0074,2026-04-02,sales,社内,N/A,"¥18,000",完了,要確認
E0039,2026-04-02,経理,B200,8,"20,000円",完了,要確認
E0115,2026-04-02,開発,C300,8,"20,000円",確認中,重複確認
E0023,2026-04-02,sales,B200,9時間,"20,000円",rework,
